CountryID,Country Name,Region,World Rank,Property Rights,Freedom from Corruption,Fiscal Freedom ,Gov't Spending,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom
53,Eritrea,Sub-Saharan Africa,174,10.0,20.0,57.0,71.8,18.2,65.5,57.8,69.2,0.0,20.0
54,Estonia,Europe,8,90.0,68.0,80.6,53.2,81.5,58.7,77.6,88.0,90.0,80.0
55,Ethiopia,Sub-Saharan Africa,149,30.0,33.0,77.4,91.4,55.9,56.4,66.1,64.4,20.0,20.0
56,Fiji,Asia-Pacific,98,25.0,22.3,81.3,74.6,63.2,75.2,78.3,70.2,50.0,50.0
57,Finland,Europe,19,90.0,89.0,66.4,3.6,92.6,54.8,79.9,88.0,90.0,80.0
58,France,Europe,73,80.0,71.0,47.5,2.5,80.2,43.5,77.5,83.0,70.0,70.0
59,Gabon,Sub-Saharan Africa,104,40.0,34.0,77.5,74.6,57.9,64.3,78.4,61.0,55.0,40.0
60,Gambia,Sub-Saharan Africa,113,25.0,28.0,75.4,73.4,55.7,66.7,70.8,65.0,65.0,50.0
61,Georgia,Europe,22,40.0,49.0,87.2,73.8,88.6,79.9,82.7,88.6,80.0,60.0
62,Germany,Europe,16,90.0,78.0,60.8,40.1,88.2,51.2,81.5,88.0,90.0,70.0
63,Ghana,Sub-Saharan Africa,71,50.0,46.0,84.6,70.8,62.5,56.9,69.2,64.8,65.0,60.0
64,Greece,Europe,130,40.0,40.0,64.2,0.0,73.3,51.6,77.8,83.0,60.0,50.0
65,Guatemala,South and Central America / Caribbean,87,20.0,29.0,79.6,94.1,54.7,50.6,76.8,84.6,65.0,50.0
66,Guinea,Sub-Saharan Africa,144,15.0,24.0,68.1,79.5,51.6,74.4,66.7,61.2,40.0,40.0
67,Guinea-Bissau,Sub-Saharan Africa,145,20.0,19.0,89.1,88.0,39.6,61.7,77.5,65.4,30.0,30.0
68,Guyana,South and Central America / Caribbean,123,25.0,27.0,68.7,70.8,63.8,74.5,78.4,72.0,45.0,30.0
69,Haiti,South and Central America / Caribbean,151,10.0,19.0,80.3,76.2,43.1,63.7,73.5,77.6,40.0,30.0
70,Honduras,South and Central America / Caribbean,116,30.0,26.0,84.9,78.7,53.2,28.0,75.4,77.6,60.0,60.0
71,Hong Kong SAR,Asia-Pacific,1,90.0,75.0,93.2,89.7,100.0,95.9,81.8,90.0,90.0,90.0
72,Hungary,Europe,54,55.0,54.0,78.7,25.9,74.5,67.7,79.2,88.0,75.0,70.0
73,Iceland,Europe,26,90.0,78.0,72.0,32.6,90.5,62.2,77.0,88.0,70.0,60.0
74,India,Asia-Pacific,128,55.0,36.0,79.4,78.3,43.3,48.7,65.3,64.6,35.0,40.0
75,Indonesia,Asia-Pacific,105,30.0,32.0,83.3,88.3,49.3,48.7,74.9,74.8,40.0,60.0
76,Iran,Middle East / North Africa,171,10.0,25.0,81.2,93.0,57.0,51.3,48.7,41.4,0.0,10.0
78,Ireland,Europe,9,85.0,72.0,73.6,45.6,82.1,76.2,83.9,88.0,90.0,70.0
79,Israel,Middle East / North Africa,33,75.0,61.0,61.9,47.8,72.4,67.1,81.6,88.6,80.0,70.0
80,Italy,Europe,80,55.0,43.0,54.2,23.2,71.9,55.4,81.2,88.0,85.0,60.0
81,Jamaica,South and Central America / Caribbean,48,40.0,38.0,81.5,73.2,85.9,76.5,71.4,75.0,85.0,50.0
82,Japan,Asia-Pacific,20,80.0,74.0,68.7,47.1,84.1,90.2,86.7,82.6,70.0,50.0
83,Jordan,Middle East / North Africa,38,60.0,45.0,93.7,70.7,59.1,74.4,80.6,79.6,70.0,60.0
84,Kazakhstan,Asia-Pacific,69,25.0,26.0,93.2,85.0,73.7,87.0,74.6,79.0,40.0,50.0
85,Kenya,Sub-Saharan Africa,122,30.0,27.0,78.0,72.1,47.9,63.8,72.8,64.0,50.0,50.0
86,Kiribati,Asia-Pacific,164,30.0,29.2,73.0,0.0,56.8,83.9,80.6,55.4,25.0,30.0
87,"Korea, North ",Asia-Pacific,178,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,"Korea, South",Asia-Pacific,29,75.0,55.0,72.5,67.9,89.7,51.1,81.6,72.6,70.0,80.0
89,Kuwait,Middle East / North Africa,74,45.0,43.0,97.7,61.1,58.6,64.2,74.0,76.2,55.0,50.0
