Year,GDP,pce,gce,fix,exp,inp
2007,"134071","71979","19221","32051","93495","82839"
2008,"131510","72602","19912","30454","92308","85482"
2009,"129617","71755","20557","27617","78273","66772"
2010,"141192","74977","20987","33359","100135","90154"
2011,"143122","77990","21676","33469","104197","94569"
2012,"146869","80351","22543","32821","103454","92520"
2013,"152307","82484","22426","33787","105799","92004"
2014,"160974","85809","23414","34842","112582","95955"
2015,"167062","87246","23202","34694","107765","86032"
